id;nom_matiere;reference;type_matiere;matricule_matiere
1;Checking mobile;markets Tonga Bacon;Guinée;Handcrafted driver
2;Paix Avon;workforce b;Laffitte card Lesotho;online Bedfordshire Tools
3;matrix c;Awesome B2B bandwidth;invoice a invoice;auxiliary vortals
4;Handcrafted deposit;Fully-configurable de;a regional;cross-platform Multi-lateral Rustic
5;Ball a Stagiaire;Grocery;Designer Kids programming;Money Montmorency Franche-Comté
6;directional;Personal Rustic;hack Fully-configurable Outdoors;innovative Intuitive Self-enabling
7;driver CFA FTP;Home port;Seychelles sensor;Royale Checking
8;Account c quantifying;systematic Credit;ROI payment Berkshire;green
9;GB world-class maroon;Lettonie Implemented;calculating Wooden Bedfordshire;b Soft panel
10;Concrete bypass navigate;a visionary c;b Public-key;grow l'Abbaye
