id;nom_etab;type_etab;statut;latitude;longitude;matricule_etab
1;support purple neural;CFP;Prive;55999;91078;Bedfordshire
2;Taiwan Awesome Gloves;CFP;Prive;16125;89442;Pizza 1080p
3;connecting;LyceeTechnique;Prive;41862;52892;Ingenieur toolset Denar
4;Berkshire reciprocal;CFP;Prive;29177;35214;IB Fresh Sommerard
5;Rustic;LyceeTechnique;Publique;52135;59625;Chips
6;1080p Streamlined;LyceeTechnique;Publique;73175;7135;compress Account sexy
7;protocol sensor;LyceeTechnique;Publique;29304;54803;c deposit Grocery
8;Haute-Normandie;LyceeTechnique;Publique;88082;51436;efficient intuitive
9;Beauty;LyceeTechnique;Prive;4729;39231;deposit Account integrated
10;metrics Ingenieur didactic;CFP;Prive;49729;17058;Palladium demand-driven
